name,repo_name
Cap'n Proto,autumnai/leaf
Cairo,AlDanial/cloc
Cadence,RIOT-OS/RIOT
CWeb,FFMG/myoddweb.piger
CUE,grafana/grafana
CSS,FreeCodeCamp/FreeCodeCamp
COBOL,AlDanial/cloc
CMake,tensorflow/tensorflow
CLIPS,ketoo/NoahGameFrame
CAP CDS,mahulchak/quickmerge
C++,tensorflow/tensorflow
C#,tensorflow/tensorflow
C,tensorflow/tensorflow
Bro,apache/incubator-metron
Brightscript,AlDanial/cloc
Brainfuck,AlDanial/cloc
Boogie,boogie-org/corral
Boo,mausch/SolrNet
Bluespec,cambridgehackers/connectal
BlitzMax,blackducksoftware/ohcount
BlitzBasic,bitkeeper-scm/bitkeeper
Blade,laravel/framework
BitBake,fluent/fluent-bit
Bison,damonkohler/sl4a
Bicep,Azure/azure-quickstart-templates
Beef,bkaradzic/bgfx
Batchfile,tensorflow/tensorflow
Ballerina,wso2/wso2-qa-artifacts
BASIC,gnachman/iTerm2
Awk,golang/go
AutoIt,bmrf/tron
AutoHotkey,cloudera/hue
Augeas,letsencrypt/letsencrypt
Asymptote,MartinThoma/LaTeX-examples
Astro,HubSpot/youmightnotneedjquery
Assembly,facebook/react-native
AspectJ,spring-projects/spring-framework
Arduino,kanflo/aaduino
Arc,ccrisan/motionpie
AppleScript,altercation/solarized
Apex,AlDanial/cloc
ApacheConf,mxstbr/react-boilerplate
AngelScript,rg3/youtube-dl
Alloy,digital-preservation/droid
Agda,AlDanial/cloc
Adblock Filter List,uBlockOrigin/uAssets
Ada,ketoo/NoahGameFrame
ActionScript,hiloteam/Hilo
ATS,CloudI/CloudI
ASP.NET,SeleniumHQ/selenium
ASP,Microsoft/ProjectOxford-ClientSDK
ASL,jenkinsci/job-dsl-plugin
APL,AlDanial/cloc
API Blueprint,moul/advanced-ssh-config
ANTLR,apache/spark
AMPL,apache/cassandra
AL,facebook/infer
AIDL,godotengine/godot
AGS Script,statsmodels/statsmodels
ABAP,cloudera/hue
1C Enterprise,dotnet/roslyn
